Universidad,url_universidad,ciudad,estado,n_profesores
*una muy buena escuela:  ESIQIE-IPN.*,https://www.misprofesores.com/escuelas/una-muy-buena-escuela-ESIQIEIPN_11077, cd de mexico.,CD DE MEXICO,23
", prEPARATORIA ofICIAL eNRIQUE   paES  M.",https://www.misprofesores.com/escuelas/-prEPARATORIA-ofICIAL-eNRIQUE-paES-M_6126,MEXICO , méxico 0,1
", REGISTRONE INSTITUTE 2",https://www.misprofesores.com/escuelas/-REGISTRONE-INSTITUTE-2_6215,MÉXICO,MEXICO,7
",, ESIQIE-IPN.",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11168,    cd de mexico.,CD DE MEXICO,2
",, ESIQIE-IPN..",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11169,    cd de mexico.,CD DE MEXICO,20
",, ESIQIE-IPN...",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11170,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11171,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11172,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11173,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11174,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11175,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11176,    cd de mexico.,CD DE MEXICO,1
",, ESIQIE-IPN..........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11177,    cd de mexico.,CD DE MEXICO,1
",,--U.N.A.M.--",https://www.misprofesores.com/escuelas/UNAM_6741,CD de MÉXICO,CD DE MEXICO,2
",,UNIVERSIDAD NACIONAL AUTONOMA DE MEX",https://www.misprofesores.com/escuelas/UNIVERSIDAD-NACIONAL-AUTONOMA-DE-MEX_6111,MEXICO,MEXICO,13
",.  ESIQIE-IPN.",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11188,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN..",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11189,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN...",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11190,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN....",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11191,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11192,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11193,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11194,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11195,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN..........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11196,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN...........",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11197,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN............",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11198,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN.............",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11199,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN..............",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11200,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN...............",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11201,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11202,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN.................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11203,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN..................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11204,    cd de mexico.,CD DE MEXICO,1
",.  ESIQIE-IPN...................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11205,MEXICO,CD DE MEXICO,2
",.  ESIQIE-IPN....................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11206,MEXICO,MEXICO,1
",.  ESIQIE-IPN.....................",https://www.misprofesores.com/escuelas/-ESIQIEIPN_11207,    cd de mexico.,CD DE MEXICO,2
",.""U.N.A.M""",https://www.misprofesores.com/escuelas/UNAM_6742,CD de MÉXICO,CD DE MEXICO,2
",.SECUNDARIA-50 CIUDADELA",https://www.misprofesores.com/escuelas/SECUNDARIA50-CIUDADELA_6190,"2,  CD DE MÉXICO",MEXICO,2
",ESIQIE -.IPN",https://www.misprofesores.com/escuelas/ESIQIE-IPN_11144,MEXICO.,CD DE MEXICO,2
",ESIQIE- .IPN",https://www.misprofesores.com/escuelas/ESIQIE-IPN_11143,MEXICO.,MEXICO,2
",ESIQIE-. IPN",https://www.misprofesores.com/escuelas/ESIQIE-IPN_11142,MEXICO,MEXICO,2
",ESIQIE-.IPN",https://www.misprofesores.com/escuelas/ESIQIEIPN_11141,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-.IPN.",https://www.misprofesores.com/escuelas/ESIQIEIPN_11147,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-.IPN..",https://www.misprofesores.com/escuelas/ESIQIEIPN_11148,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-.IPN...",https://www.misprofesores.com/escuelas/ESIQIEIPN_11149,    cd de mexico.,MEXICO,15
",ESIQIE-.IPN....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11150,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-.IPN.....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11151, cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN",https://www.misprofesores.com/escuelas/ESIQIEIPN_11089, cd de mexico.,CD DE MEXICO,23
",ESIQIE-IPN..",https://www.misprofesores.com/escuelas/ESIQIEIPN_11211, cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN..",https://www.misprofesores.com/escuelas/ESIQIEIPN_11277,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN...",https://www.misprofesores.com/escuelas/ESIQIEIPN_11212,MEXICO,MEXICO,1
",ESIQIE-IPN....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11213, cd de mexico.,MEXICO,1
",ESIQIE-IPN.....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11214, cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN......",https://www.misprofesores.com/escuelas/ESIQIEIPN_11215, cd de mexico.,MEXICO,1
",ESIQIE-IPN.......",https://www.misprofesores.com/escuelas/ESIQIEIPN_11216,MEXICO,MEXICO,1
",ESIQIE-IPN........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11217, cd de mexico.,MEXICO,1
",ESIQIE-IPN.........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11218,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN..........",https://www.misprofesores.com/escuelas/ESIQIEIPN_11219,    cd de mexico.,CD DE MEXICO,1
",ESIQIE-IPN............",https://www.misprofesores.com/escuelas/ESIQIEIPN_11221, cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN",https://www.misprofesores.com/escuelas/ESIQIEIPN_11251, cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN.",https://www.misprofesores.com/escuelas/ESIQIEIPN_11252,MEXICO,CD DE MEXICO,1
",ESIQIE.-IPN..",https://www.misprofesores.com/escuelas/ESIQIEIPN_11253,    cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN...",https://www.misprofesores.com/escuelas/ESIQIEIPN_11254,    cd de mexico.,CD DE MEXICO,1
",ESIQIE.-IPN....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11255, cd de mexico.,MEXICO,1
",ESIQIE.-IPN.....",https://www.misprofesores.com/escuelas/ESIQIEIPN_11256, cd de mexico.,MEXICO,1
",ESIQIE.-IPN......",https://www.misprofesores.com/escuelas/ESIQIEIPN_11257,MEXICO,MEXICO,1
",ESIQIE.-IPN.......",https://www.misprofesores.com/escuelas/ESIQIEIPN_11258, cd de mexico.,MEXICO,1
